Longitude,Latitude,Site_Name,14C_Age_bp,Region,Country,,,,
-80.63,-1.92,Loma Atla,2490,South America,Ecuador,,(2730–2350 cal B.P. at two-sigmas; Beta-103315 Zarillo et al 2008:5007) estimated using oxcal with 2490 +/- 40,,
-77.74,-10.82,Aspero,2495,South America,Peru,,,,
-69.73,-19.48,Tiliviche,920,South America,Chile,,,,
-70.46,-30.7,Pichasca,1025,South America,Chile,,,,
-69.12,-21.26,Guatacondo,1865,South America,Chile,,,,
-69.51,-21.2,Ramaditas,2210,South America,Chile,,,,
-68.5,-34.7,Gruta del Indio,2065,South America,Argentina  ,,,,
-67.34,-26.03,Punta de la Pena,560,South America,Argentina,,,,
-69.88,-34.76,El Indigeno,1045,South America,Argentina,"(AA-26192) 1,045 +/- 45 ",,,
-68.187,-35.439,Puesto Ortubia,910,South America,Argentina,(AA-26197) 910 +/- 40,,,
-68.158,-35.435,Agua de Los Caballos,740,South America,Argentina,(AA-26194) 740 +/- 40,,,
-88.29,14.85,El Gigante,2280,Mesoamerica,Honduras,,,,
-94.04,18,San Andres,2565,Mesoamerica,Mexico,,,,
-108.126125,30.92465,Cerro Juanaquena,2980,Mesoamerica,Mexico,(2980+/-50),108.126125,30.92465,"(corrected by Hanselka apr9, 2009)"
-110.68,30.29,La Playa,3000,Mesoamerica,Mexico,,,,
-92.44976,14.89096,San Carlos,3365,Mesoamerica,Mexico,
-92.210039,14.727158,Cuauhtemoc,3225,Mesoamerica,Mexico,"(UCIAMS #7033)  3225 +/- 15 is located at 14 degrees 43'37.77"" N 92 degrees 12'36.14W"
-99.522917,23.087667,Valenzuela's Cave,3890,Mesoamerica,Mexico,
-99.522917,23.087667,Romero's Cave,3930,Mesoamerica,Mexico,
-97.17,18.45,San Marcos Cave,4700,Mesoamerica,Mexico,
-96.413556,16.941111,Guila Naquitz,5420,Mesoamerica,Mexico,
-82.87,39.84,Harness Mound,1730,Northeast,US,US North East
-84.95,36.32,Icehouse Bottom,1775,Northeast,US,
-89.93,38.23,Holding (Cahokia),2077,Northeast,US,
-72.19,41,Sebonac,555,Northeast,US,"Little (2002) #9) Ny, Sebonac, L.I., P-15788 (Ceci 1990) 555 ± 85b 1280(1400)1480"
-70.55,43.69,Saco River,600,Northeast,US,"Little (2002) #10) ME, Saco R., P-102060, cupule (Asch Sidell 1999:192) 600 ± 40b 1300(1330,1350,1390)1420"
-74.124,40.62,Bowmans Brook,610,Northeast,US,"Little (2002) #11) NY, Hudson R., Staten I., Bowmans Brook, P-15769 (Ceci 1990) 610 ± 60 -11.64 1280(1320,1350,1390)1430"
-72.58,41.78,Burnham-Shepard,610,Northeast,US,"Little (2002) #12) CT, Conn. R., Bernhm-Shep., P-27676, k (Bendremer et al. 1994) 620 ± 70 1280(1320,1350,1390)1430"
-70.04,41.75,Cape Cod,620,Northeast,US,"Little (2002) #13) MA, Cape Cod, 19BN811, GX-19319, k (Strauss 1994; Little 1994) 620 ± 59b -10.1 1280(1320,1350,1390)1430"
-73.04,41.31,Housatonic River,690,Northeast,US,"Little (2002) #14) CT, Housatonic R., 294A, 25-2(9), P-84973 (Cassedy & Webb 1999) 690 ± 60b 1220(1290)1400"
-73.69,42.07,Hudson River,1050,Northeast,US,"Little (2002) #16) NY, Hudson R., 211-1-1(32), P-84969, k (Cassedy & Webb 1999) 1050 ± 50b 890(1000)1150"
-104.79249,39.447798,Franktown Cave,892,Northeast,US,Gilmore (2005) AA60692 plant corn cob   892+/-36 (AD 1035-1219) [https://portfolio.du.edu/pc/port.detail?id=98062]
-108.072602,33.93043,Bat Cave,3010,Southwest,US,From Huckell Map 2006
-110.96,32.33,Cortaro Fan,2790,Southwest,US,
-111.180617,32.269378,Costello-King,2780,Southwest,US,"Huckle 2006, HOM:100   2780+/-60"
-110.610084,31.676802,Donaldson,2505,Southwest,US,"Huckle 2006, HOM:100   2505+/-50"
-110.21,31.87,Fairbank,2815,Southwest,US,
-105.857694,32.949361,Fresnal Shelter,2945,Southwest,US,"From Kevin Hanselka on the ground measurement 32 56'57.7""N, 105 51'27.7""W    =   32.949361 N,  105.857694 W"
-106.687167,35.792028,Jemez,2410,Southwest,US,
-108,34.6,LA18091,2720,Southwest,US,
-110.595216,31.584088,Los Ojitos,2170,Southwest,US,"Huckle 2006, HOM:100   2170+/-170"
-110.039633,33.119099,McEuen Cave,4300,Southwest,US,"Huckle 2006, HOM:100   4300-2200"
-110.787573,32.171669,Milagro,2930,Southwest,US,"Huckle 2006, HOM:100   2930+/-45"
-108.951357,34.490966,Old Corn (LA 137258,3680,Southwest,US,"Huckle 2006, HOM:100   3680+/-40"
-106.587335,35.660011,San Luis de Cabezon,3125,Southwest,US,"Huckle 2006, HOM:100   3125+/-45"
-108.27,36.59,Sheep Camp Shelter,2290,Southwest,US,
-110.230238,36.523297,Three Fir Shelter,2880,Southwest,US,From Huckell Map 2006
-106.596343,32.096864,Tornillo Shelter,3175,Southwest,US,From Huckell Map 2006
-108.541227,34.00947,Tularosa Cave,1920,Southwest,US,1920+/-40   location From Huckell Map 2006
-111.052713,32.31975,Valley Farms,3145,Southwest,US,"Huckle 2006, HOM:100   3145+/-50"
-111.05,32.45,West End,2735,Southwest,US,
